timestamp,endpoint,http_code,time_total
20260322-184003,api,200,0.263596
20260322-184004,api,200,0.312628
20260322-184006,api,200,0.214859
20260322-184007,api,200,0.226225
20260322-184008,api,200,0.191159
20260322-184009,api,200,0.250684
20260322-184011,api,200,0.318425
20260322-184012,api,200,0.239841
20260322-184013,api,200,0.276391
20260322-184015,api,200,0.178143
20260322-184016,api,200,0.228822
20260322-184017,api,200,0.314025
20260322-184018,api,200,0.238599
20260322-184020,api,200,0.248878
20260322-184021,api,200,0.292120
20260322-184022,api,200,0.308340
20260322-184024,api,200,0.224114
20260322-184025,api,200,0.245092
20260322-184026,api,200,0.313169
20260322-184028,api,200,0.193636
20260322-184029,api,200,0.369528
20260322-184030,api,200,0.214397
20260322-184032,api,200,0.287056
20260322-184033,api,200,0.306196
20260322-184034,api,200,0.348682
20260322-184036,api,200,0.235974
20260322-184037,api,200,0.331867
20260322-184038,api,200,0.251982
20260322-184040,api,200,0.320353
20260322-184041,api,200,0.346175
20260322-184042,api,200,0.325683
20260322-184044,api,200,0.263061
20260322-184045,api,200,0.354264
20260322-184046,api,200,0.239604
20260322-184048,api,200,0.285308
20260322-184049,api,200,0.265038
20260322-184050,api,200,0.251860
20260322-184052,api,200,0.240528
20260322-184053,api,200,0.384278
20260322-184054,api,200,0.228923
20260322-184056,api,200,0.254385
20260322-184057,api,200,0.240972
20260322-184058,api,200,0.321930
20260322-184059,api,200,0.262914
20260322-184101,api,200,0.250156
20260322-184102,api,200,0.302264
20260322-184103,api,200,0.183496
20260322-184105,api,200,0.246251
20260322-184106,api,200,0.344110
20260322-184107,api,200,0.177376
20260322-184109,api,200,0.193528
20260322-184110,api,200,0.280569
20260322-184111,api,200,0.319151
20260322-184112,api,200,0.271633
20260322-184114,api,200,0.258039
20260322-184115,api,200,0.344725
20260322-184116,api,200,0.253600
20260322-184118,api,200,0.172952
20260322-184119,api,200,0.220645
20260322-184120,api,200,0.241776
20260322-184121,api,200,0.182991
20260322-184123,api,200,0.240356
20260322-184124,api,200,0.221586
20260322-184125,api,200,0.312376
20260322-184127,api,200,0.319182
20260322-184128,api,200,0.183477
20260322-184129,api,200,0.252275
20260322-184130,api,200,0.314361
20260322-184132,api,200,0.236284
20260322-184133,api,200,0.246685
20260322-184134,api,200,0.296753
20260322-184136,api,200,0.250975
20260322-184137,api,200,0.257556
20260322-184138,api,200,0.233946
20260322-184140,api,200,0.257045
20260322-184141,api,200,0.168213
20260322-184142,api,200,0.242038
20260322-184143,api,200,0.258681
20260322-184145,api,200,0.319175
20260322-184146,api,200,0.182588
20260322-184147,api,200,0.215630
20260322-184148,api,200,0.178126
20260322-184150,api,200,0.215374
20260322-184151,api,200,0.175922
20260322-184152,api,200,0.255934
20260322-184153,api,200,0.228408
20260322-184155,api,200,0.176307
20260322-184156,api,200,0.216611
20260322-184157,api,200,0.247385
20260322-184158,api,200,0.193128
20260322-184200,api,200,0.222720
20260322-184201,api,200,0.261586
20260322-184202,api,200,0.243730
20260322-184204,api,200,0.272013
20260322-184205,api,200,0.281605
20260322-184206,api,200,0.233137
20260322-184207,api,200,0.259098
20260322-184209,api,200,0.288390
20260322-184210,api,200,0.246614
20260322-184211,api,200,0.177112
20260322-184213,api,200,0.242728
20260322-184214,api,200,0.247383
20260322-184215,api,200,0.294255
20260322-184216,api,200,0.257377
20260322-184218,api,200,0.353633
20260322-184219,api,200,0.311273
20260322-184220,api,200,0.311809
20260322-184222,api,200,0.252337
20260322-184223,api,200,0.333194
20260322-184224,api,200,0.271090
20260322-184226,api,200,0.238227
20260322-184227,api,200,0.237524
20260322-184228,api,200,0.289854
20260322-184230,api,200,0.305747
20260322-184231,api,200,0.185960
20260322-184232,api,200,0.285357
20260322-184234,api,200,0.267025
20260322-184235,api,200,0.243041
20260322-184236,api,200,0.250311
20260322-184237,api,200,0.257603
20260322-184239,api,200,0.226745
20260322-184240,api,200,0.254475
20260322-184241,api,200,0.263305
